,building_id,borough,street_name,house_number,project_id,latitude,longitude
0,927737.0,Brooklyn,RALPH AVENUE,335,44223,40.677644,-73.921745
1,969695.0,Brooklyn,ROCHESTER AVENUE,35,44223,40.677925,-73.927466
2,975702.0,Brooklyn,SUYDAM PLACE,18-22,44223,40.677823,-73.926554
3,977564.0,Brooklyn,RALPH AVENUE,329/331,44223,,
4,64740.0,Bronx,EAST 165 STREET,149,58871,40.831229,-73.921325
5,64863.0,Bronx,EAST 166 STREET,200,58871,40.831369,-73.918181
6,97372.0,Bronx,MORRIS AVENUE,1322,58871,40.836319,-73.912288
7,109490.0,Bronx,SHERMAN AVENUE,1060,58871,40.830765,-73.917651
8,109521.0,Bronx,SHERMAN AVENUE,1194,58871,40.833229,-73.916206
9,112824.0,Bronx,TELLER AVENUE,1345,58871,40.835557,-73.909691
10,6567.0,Manhattan,AVENUE C,195,64543,40.727,-73.976715
11,11581.0,Manhattan,EAST 10 STREET,406,64543,40.725658,-73.977032
12,11701.0,Manhattan,EAST 11 STREET,533,64543,40.728085,-73.980907
13,926974.0,Brooklyn,HANCOCK STREET,687A,65315,40.685103,-73.927793
14,927550.0,Brooklyn,WILLOUGHBY AVENUE,821,65315,40.695442,-73.935615
15,927551.0,Brooklyn,BAINBRIDGE STREET,278,65315,40.681506,-73.926279
16,927552.0,Brooklyn,BERGEN STREET,1662,65315,40.674876,-73.927685
17,927561.0,Brooklyn,JEFFERSON AVENUE,697A,65315,40.685544,-73.930457
18,927563.0,Brooklyn,MALCOLM X BOULEVARD,358,65315,40.680665,-73.928617
19,978709.0,Brooklyn,CHAUNCEY STREET,191,65315,40.680653,-73.927365
20,978711.0,Brooklyn,CHAUNCEY STREET,179,65315,40.680601,-73.927823
21,996113.0,Brooklyn,BUFFALO AVENUE,50,65315,40.677432,-73.924759
22,996114.0,Brooklyn,ATLANTIC AVENUE,1835,65315,40.677125,-73.925087
23,997575.0,Brooklyn,HUNTERFLY PLACE,13,65315,40.677835,-73.928328
24,5563.0,Manhattan,AMSTERDAM AVENUE,1453,65358,40.816754,-73.953789
25,5635.0,Manhattan,AMSTERDAM AVENUE,1732,65358,40.825691,-73.947282
26,5642.0,Manhattan,AMSTERDAM AVENUE,1747,65358,40.826188,-73.946895
27,40762.0,Manhattan,WEST 135 STREET,507,65358,40.819169,-73.952729
28,40764.0,Manhattan,WEST 135 STREET,509,65358,40.819186,-73.952768
29,40780.0,Manhattan,WEST 135 STREET,529,65358,40.819342,-73.953162
30,40792.0,Manhattan,WEST 135 STREET,625,65358,40.820474,-73.955936
31,40934.0,Manhattan,WEST 136 STREET,510,65358,40.820004,-73.952786
32,997246.0,Bronx,EAST 134 STREET,750,66909,40.801943,-73.913905
33,22728.0,Manhattan,HENRY STREET,250,67910,40.713802,-73.984893
34,25509.0,Manhattan,MONTGOMERY STREET,35,67910,40.713053,-73.985045
35,29402.0,Manhattan,MONTGOMERY STREET,75,67910,40.711535,-73.984818
36,29403.0,Manhattan,WATER STREET,605,67910,40.711249,-73.98445
37,29405.0,Manhattan,WATER STREET,645,67910,40.711383,-73.98265
38,805444.0,Manhattan,WATER STREET,675,67910,40.711446,-73.98173
39,83696.0,Bronx,HARRISON AVENUE,1898,69280,40.852603,-73.911461
40,993786.0,Queens,153 STREET,88-20,69428,40.705953,-73.803921
41,669304.0,Queens,JEWEL AVENUE,158-40,69763,40.732214,-73.80952
42,810604.0,Queens,71 AVENUE,159-21,69763,40.730363,-73.809283
43,810605.0,Queens,71 AVENUE,162-01,69763,40.730433,-73.806981
44,811576.0,Queens,JEWEL AVENUE,161-02,69763,40.731845,-73.807399
45,811577.0,Queens,JEWEL AVENUE,161-06,69763,40.731837,-73.807312
46,811578.0,Queens,JEWEL AVENUE,161-10,69763,40.731825,-73.80723
47,811579.0,Queens,JEWEL AVENUE,161-32,69763,40.731775,-73.806761
48,669305.0,Queens,JEWEL AVENUE,161-25,69765,40.731809,-73.806926
49,810974.0,Queens,161 STREET,67-11,69765,40.733421,-73.807856
50,810976.0,Queens,161 STREET,67-25,69765,40.733237,-73.807868
51,810978.0,Queens,161 STREET,67-47,69765,40.732946,-73.807883
52,810980.0,Queens,162 STREET,65-69,69765,40.73519,-73.806603
53,810982.0,Queens,162 STREET,65-85,69765,40.73421,-73.80692
54,811021.0,Queens,164 STREET,67-02,69765,40.734808,-73.804879
55,811022.0,Queens,164 STREET,67-30,69765,40.734103,-73.804924
56,811023.0,Queens,164 STREET,67-40,69765,40.733982,-73.804932
57,811024.0,Queens,164 STREET,67-50,69765,40.733861,-73.80494
58,811025.0,Queens,164 STREET,69-10,69765,40.732796,-73.805011
59,811580.0,Queens,JEWEL AVENUE,161-51,69765,40.731758,-73.806371
60,566924.0,Queens,160 STREET,65-20,69766,40.736291,-73.8087
61,810970.0,Queens,160 STREET,65-76,69766,40.735339,-73.808872
62,810972.0,Queens,160 STREET,65-90,69766,40.734282,-73.808687
63,810973.0,Queens,161 STREET,67-10,69766,40.733424,-73.807878
64,810975.0,Queens,161 STREET,67-24,69766,40.733237,-73.807889
65,810977.0,Queens,161 STREET,67-46,69766,40.732946,-73.807905
66,811575.0,Queens,JEWEL AVENUE,158-39,69766,40.732233,-73.809556
67,811739.0,Queens,PARSONS BOULEVARD,65-17,69766,40.736319,-73.810515
68,811744.0,Queens,PARSONS BOULEVARD,65-43,69766,40.735224,-73.810579
69,811746.0,Queens,PARSONS BOULEVARD,65-61,69766,40.734809,-73.810606
70,811747.0,Queens,PARSONS BOULEVARD,65-77,69766,40.734447,-73.810628
71,811750.0,Queens,PARSONS BOULEVARD,67-11,69766,40.73423,-73.810643
72,566925.0,Queens,160 STREET,65-47,69767,40.735866,-73.808755
73,810971.0,Queens,160 STREET,65-77,69767,40.735369,-73.808847
74,810979.0,Queens,162 STREET,65-44,69767,40.735763,-73.806652
75,810981.0,Queens,162 STREET,65-70,69767,40.735297,-73.806631
76,810983.0,Queens,162 STREET,65-88,69767,40.734221,-73.806938
77,999031.0,Bronx,BOSTON ROAD,1323,69862,40.831835,-73.899256
78,997184.0,Brooklyn,LIBERTY AVENUE,101,70628,40.672857,-73.906963
79,998854.0,Brooklyn,PRESIDENT STREET,1042,70724,40.668572,-73.95701
80,998885.0,Bronx,BRYANT AVENUE,883,70729,40.819546,-73.886861
81,999034.0,Brooklyn,WINTHROP STREET,250,70794,40.65699,-73.951809
82,998857.0,Brooklyn,CROPSEY AVENUE,2224,70797,40.596848,-73.998131
83,998863.0,Brooklyn,REMSEN AVENUE,406,70813,40.655739,-73.923252
84,,Bronx,----,----,71062,,
85,88949.0,Bronx,JEROME AVENUE,2500,71072,40.864053,-73.900054
86,995859.0,Bronx,BRYANT AVENUE,1409,71109,40.83037,-73.888769
87,996950.0,Bronx,JACKSON AVENUE,494,71112,40.811856,-73.909557
88,995199.0,Bronx,MORRIS AVENUE,2311,71116,40.858567,-73.901642
89,117058.0,Bronx,VALENTINE AVENUE,2320,71118,40.857384,-73.89792
90,353106.0,Brooklyn,PENNSYLVANIA AVENUE,429,71119,40.666901,-73.894582
91,329180.0,Brooklyn,LOTT STREET,169,71121,40.645753,-73.954052
92,996257.0,Bronx,ECHO PLACE,246,71124,40.849647,-73.904283
93,996722.0,Bronx,WEBSTER AVENUE,2302,71126,40.856435,-73.895449
94,997424.0,Brooklyn,BLUE SLIP,2,71128,40.735548,-73.959792
95,996047.0,Brooklyn,FARRAGUT ROAD,2021,71129,40.63533,-73.957899
96,327709.0,Brooklyn,LINDEN STREET,313,71130,40.698398,-73.914507
97,123619.0,Bronx,WHITE PLAINS ROAD,4761,71131,40.905135,-73.849559
98,81853.0,Bronx,GRAND CONCOURSE,260,71132,40.813775,-73.929384
99,351128.0,Brooklyn,PALMETTO STREET,58,71133,40.69079,-73.919605
100,995341.0,Bronx,SHERMAN AVENUE,1181,71135,40.833078,-73.916318
101,996398.0,Brooklyn,BERGEN STREET,1994,71136,40.67417,-73.914809
102,996582.0,Bronx,CRUGER AVENUE,3365,71137,40.874511,-73.866052
103,996696.0,Bronx,BRUCKNER BOULEVARD,109,71138,40.804892,-73.922834
104,996951.0,Brooklyn,EAST 32 STREET,730,71139,40.633264,-73.945784
105,996286.0,Brooklyn,GARDEN STREET,13,71140,40.701253,-73.937831
106,970692.0,Brooklyn,EAST 31 STREET,19,71141,40.65025,-73.94852
107,997720.0,Bronx,EASTCHESTER ROAD,3525,71142,40.879072,-73.847485
108,996744.0,Bronx,EAST 135 STREET,417,71143,40.806918,-73.923641
109,996829.0,Bronx,BARKER AVENUE,2438,71144,40.862167,-73.869399
110,997876.0,Bronx,WEST 167 STREET,237,71145,40.839404,-73.928446
111,,Queens,----,----,71146,,
112,997651.0,Brooklyn,JEFFERSON STREET,15,71147,40.697445,-73.934794
113,997793.0,Brooklyn,ROGERS AVENUE,1010,71148,40.645626,-73.951936
114,998601.0,Brooklyn,JEFFERSON STREET,13,71149,40.697406,-73.93483
115,64772.0,Bronx,EAST 165 STREET,378,71150,40.828198,-73.913105
116,113903.0,Bronx,3 AVENUE,4415,71151,40.851789,-73.893085
117,995093.0,Brooklyn,FULTON STREET,1557,71152,40.679828,-73.939066
118,995942.0,Bronx,CRUGER AVENUE,3216,71153,40.87197,-73.866133
119,997279.0,Brooklyn,HULL STREET,169,71155,40.679642,-73.910065
120,299406.0,Brooklyn,GATES AVENUE,424,71156,40.686355,-73.949336
121,972093.0,Queens,BEACH 29 STREET,205,71157,40.59505,-73.76197
122,297498.0,Brooklyn,FULTON STREET,1516,71158,40.679865,-73.940046
123,283531.0,Brooklyn,EAST 95 STREET,117,71159,40.66272,-73.924772
124,995728.0,Bronx,MORRIS AVENUE,2302,71160,40.858419,-73.901707
125,989407.0,Brooklyn,RUTLAND ROAD,329,71161,40.65947,-73.949587
126,996006.0,Brooklyn,RUTLAND ROAD,327,71162,40.659467,-73.949634
127,995389.0,Brooklyn,DEKALB AVENUE,903,71164,40.692612,-73.940666
128,995336.0,Brooklyn,DEKALB AVENUE,1636,71165,40.704653,-73.918867
129,359991.0,Brooklyn,RALPH AVENUE,237,71167,40.681485,-73.922461
130,995382.0,Brooklyn,FARRAGUT ROAD,3405,71168,40.636527,-73.943987
131,992764.0,Brooklyn,NEW YORK AVENUE,1527,71169,40.635457,-73.945004
132,995443.0,Brooklyn,GRAFTON STREET,255,71170,40.661938,-73.91751
133,994447.0,Bronx,BROWN PLACE,133,71171,40.805176,-73.922046
134,59324.0,Bronx,CRESTON AVENUE,2861,64217,40.870896,-73.891601
135,94463.0,Bronx,MARION AVENUE,2997,64217,40.870006,-73.882617
