,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
0,Non Prevailing Wage,0,0,13,0,0,44223
1,Non Prevailing Wage,0,6,2,0,0,44223
2,Non Prevailing Wage,0,1,14,0,0,44223
3,Non Prevailing Wage,0,0,10,0,0,44223
4,Non Prevailing Wage,0,0,0,3,17,58871
5,Non Prevailing Wage,0,0,0,15,9,58871
6,Non Prevailing Wage,0,0,0,7,12,58871
7,Non Prevailing Wage,0,0,0,27,36,58871
8,Non Prevailing Wage,0,0,0,6,30,58871
9,Non Prevailing Wage,0,0,0,10,12,58871
10,Non Prevailing Wage,0,0,9,0,0,64543
11,Non Prevailing Wage,0,0,21,0,0,64543
12,Non Prevailing Wage,0,0,14,0,0,64543
13,Non Prevailing Wage,0,3,0,0,0,65315
14,Non Prevailing Wage,0,3,0,0,0,65315
15,Non Prevailing Wage,0,0,3,0,0,65315
16,Non Prevailing Wage,0,0,3,0,0,65315
17,Non Prevailing Wage,0,0,3,0,0,65315
18,Non Prevailing Wage,0,3,0,0,0,65315
19,Non Prevailing Wage,0,2,0,0,0,65315
20,Non Prevailing Wage,0,0,3,0,0,65315
21,Non Prevailing Wage,0,2,0,0,0,65315
22,Non Prevailing Wage,0,3,0,0,0,65315
23,Non Prevailing Wage,0,0,3,0,0,65315
24,Non Prevailing Wage,3,0,0,0,6,65358
25,Non Prevailing Wage,2,0,0,0,6,65358
26,Non Prevailing Wage,1,0,0,0,7,65358
27,Non Prevailing Wage,3,0,1,1,10,65358
28,Non Prevailing Wage,1,0,0,1,13,65358
29,Non Prevailing Wage,4,0,0,2,9,65358
30,Non Prevailing Wage,5,0,1,7,7,65358
31,Non Prevailing Wage,2,0,2,0,14,65358
32,Non Prevailing Wage,59,0,0,33,40,66909
33,Non Prevailing Wage,0,0,0,12,129,67910
34,Non Prevailing Wage,0,0,0,11,134,67910
35,Non Prevailing Wage,1,0,0,0,123,67910
36,Non Prevailing Wage,0,0,0,0,123,67910
37,Non Prevailing Wage,0,0,0,0,124,67910
38,Non Prevailing Wage,1,0,0,0,123,67910
39,Non Prevailing Wage,14,0,0,1,38,69280
40,Non Prevailing Wage,207,0,0,0,0,69428
41,Non Prevailing Wage,18,0,0,2,64,69763
42,Non Prevailing Wage,7,0,0,0,32,69763
43,Non Prevailing Wage,7,0,0,0,29,69763
44,Non Prevailing Wage,16,0,0,0,20,69763
45,Non Prevailing Wage,21,0,0,0,51,69763
46,Non Prevailing Wage,10,0,0,0,26,69763
47,Non Prevailing Wage,0,0,0,0,77,69763
48,Non Prevailing Wage,0,0,0,0,72,69765
49,Non Prevailing Wage,0,0,0,0,18,69765
50,Non Prevailing Wage,0,0,0,0,72,69765
51,Non Prevailing Wage,0,0,0,0,18,69765
52,Non Prevailing Wage,0,0,0,0,72,69765
53,Non Prevailing Wage,0,0,0,0,71,69765
54,Non Prevailing Wage,0,0,0,0,72,69765
55,Non Prevailing Wage,0,0,0,0,36,69765
56,Non Prevailing Wage,0,0,0,0,72,69765
57,Non Prevailing Wage,0,0,0,0,36,69765
58,Non Prevailing Wage,0,0,0,0,72,69765
59,Non Prevailing Wage,0,0,0,0,72,69765
60,Non Prevailing Wage,0,0,0,0,72,69766
61,Non Prevailing Wage,0,0,0,0,77,69766
62,Non Prevailing Wage,0,0,0,0,77,69766
63,Non Prevailing Wage,0,0,0,1,17,69766
64,Non Prevailing Wage,0,0,0,0,72,69766
65,Non Prevailing Wage,0,0,0,0,18,69766
66,Non Prevailing Wage,2,0,0,2,80,69766
67,Non Prevailing Wage,0,0,0,0,72,69766
68,Non Prevailing Wage,0,0,0,0,72,69766
69,Non Prevailing Wage,0,0,0,0,72,69766
70,Non Prevailing Wage,0,0,0,0,77,69766
71,Non Prevailing Wage,0,0,0,1,75,69766
72,Non Prevailing Wage,0,0,0,0,72,69767
73,Non Prevailing Wage,0,0,0,0,72,69767
74,Non Prevailing Wage,0,0,0,0,72,69767
75,Non Prevailing Wage,0,0,0,0,72,69767
76,Non Prevailing Wage,0,0,0,0,72,69767
77,Prevailing Wage,0,0,0,149,0,69862
78,Non Prevailing Wage,6,0,3,0,6,70628
79,Non Prevailing Wage,18,0,0,0,0,70724
80,Non Prevailing Wage,40,0,0,0,0,70729
81,Non Prevailing Wage,26,0,0,0,0,70794
82,Non Prevailing Wage,107,0,0,0,0,70797
83,Non Prevailing Wage,26,0,0,0,0,70813
84,Non Prevailing Wage,1,0,0,0,0,71062
85,Non Prevailing Wage,50,0,0,0,51,71072
86,Non Prevailing Wage,0,3,0,0,0,71109
87,Non Prevailing Wage,0,5,0,0,0,71112
88,Non Prevailing Wage,0,5,0,0,0,71116
89,Non Prevailing Wage,0,6,0,0,0,71118
90,Non Prevailing Wage,0,3,0,0,0,71119
91,Non Prevailing Wage,0,5,0,0,0,71121
92,Non Prevailing Wage,0,27,0,0,0,71124
93,Non Prevailing Wage,0,22,0,0,0,71126
94,Non Prevailing Wage,0,127,0,0,0,71128
95,Non Prevailing Wage,0,9,0,0,0,71129
96,Non Prevailing Wage,0,3,0,0,0,71130
97,Non Prevailing Wage,0,11,0,0,0,71131
98,Non Prevailing Wage,0,65,0,0,0,71132
99,Non Prevailing Wage,0,9,0,0,0,71133
100,Non Prevailing Wage,0,13,0,0,0,71135
101,Non Prevailing Wage,0,6,0,0,0,71136
102,Non Prevailing Wage,0,15,0,0,0,71137
103,Non Prevailing Wage,0,6,0,0,0,71138
104,Non Prevailing Wage,0,5,0,0,0,71139
105,Non Prevailing Wage,0,6,0,0,0,71140
106,Non Prevailing Wage,0,3,0,0,0,71141
107,Non Prevailing Wage,0,3,0,0,0,71142
108,Non Prevailing Wage,0,7,0,0,0,71143
109,Non Prevailing Wage,0,3,0,0,0,71144
110,Non Prevailing Wage,0,34,0,0,0,71145
111,Non Prevailing Wage,1,0,0,0,0,71146
112,Non Prevailing Wage,0,2,0,0,0,71147
113,Non Prevailing Wage,0,8,0,0,0,71148
114,Non Prevailing Wage,0,3,0,0,0,71149
115,Non Prevailing Wage,0,10,0,0,0,71150
116,Non Prevailing Wage,0,6,0,0,0,71151
117,Non Prevailing Wage,0,7,0,0,0,71152
118,Non Prevailing Wage,0,3,0,0,0,71153
119,Non Prevailing Wage,0,3,0,0,0,71155
120,Non Prevailing Wage,0,8,0,0,0,71156
121,Non Prevailing Wage,0,5,0,0,0,71157
122,Non Prevailing Wage,0,7,0,0,0,71158
123,Non Prevailing Wage,0,4,0,0,0,71159
124,Non Prevailing Wage,0,13,0,0,0,71160
125,Non Prevailing Wage,0,2,0,0,0,71161
126,Non Prevailing Wage,0,2,0,0,0,71162
127,Non Prevailing Wage,0,3,0,0,0,71164
128,Non Prevailing Wage,0,3,0,0,0,71165
129,Non Prevailing Wage,0,3,0,0,0,71167
130,Non Prevailing Wage,0,3,0,0,0,71168
131,Non Prevailing Wage,0,3,0,0,0,71169
132,Non Prevailing Wage,0,3,0,0,0,71170
133,Non Prevailing Wage,0,5,0,0,0,71171
134,Non Prevailing Wage,9,0,0,10,6,64217
135,Non Prevailing Wage,11,0,0,3,4,64217
136,Non Prevailing Wage,0,0,0,4,10,67478
137,Non Prevailing Wage,0,0,0,4,12,67478
138,Non Prevailing Wage,1,0,0,5,13,67478
139,Non Prevailing Wage,0,0,0,4,11,67478
140,Non Prevailing Wage,2,0,0,4,13,67478
141,Non Prevailing Wage,0,0,0,2,6,67478
142,Non Prevailing Wage,1,0,0,1,6,67478
143,Non Prevailing Wage,0,0,0,8,12,67478
144,Non Prevailing Wage,0,0,0,8,7,67478
145,Non Prevailing Wage,0,0,0,2,11,67478
146,Non Prevailing Wage,1,0,0,5,6,67478
147,Non Prevailing Wage,1,0,0,2,15,67478
148,Non Prevailing Wage,30,0,7,19,29,67478
149,Non Prevailing Wage,0,0,0,8,10,67478
150,Non Prevailing Wage,3,0,0,6,21,67478
151,Non Prevailing Wage,2,0,0,9,7,67478
152,Non Prevailing Wage,0,0,0,4,4,67478
153,Prevailing Wage,0,0,0,189,0,67583
154,Non Prevailing Wage,14,0,0,0,0,69931
155,Non Prevailing Wage,11,0,0,0,0,69940
156,Non Prevailing Wage,20,0,0,0,0,70434
157,Non Prevailing Wage,28,0,0,0,0,70606
158,Non Prevailing Wage,12,0,0,0,0,70668
159,Non Prevailing Wage,14,0,0,0,0,70798
160,Non Prevailing Wage,10,0,0,0,0,70806
161,Non Prevailing Wage,1,0,0,0,0,71099
