,total_units,counted_rental_units,counted_homeownership_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,project_id
0,13,0,13,2,11,0,0,0,0,44223
1,8,0,8,2,6,0,0,0,0,44223
2,15,0,15,14,1,0,0,0,0,44223
3,10,0,10,3,7,0,0,0,0,44223
4,20,20,0,9,10,0,0,0,0,58871
5,24,24,0,8,12,4,0,0,0,58871
6,20,20,0,0,6,13,0,0,0,58871
7,64,64,0,23,19,16,6,0,0,58871
8,37,37,0,4,28,0,0,0,0,58871
9,22,22,0,2,15,5,0,0,0,58871
10,9,0,9,0,8,0,0,0,0,64543
11,21,0,21,1,9,10,1,0,0,64543
12,14,0,14,0,6,4,0,0,0,64543
13,3,2,1,0,2,0,0,0,0,65315
14,3,2,1,0,1,2,0,0,0,65315
15,3,2,1,0,1,2,0,0,0,65315
16,3,2,1,0,1,2,0,0,0,65315
17,3,2,1,0,1,2,0,0,0,65315
18,3,2,1,0,1,1,0,0,0,65315
19,2,1,1,1,0,1,0,0,0,65315
20,3,2,1,0,1,2,0,0,0,65315
21,2,1,1,0,1,0,0,0,0,65315
22,3,2,1,0,3,0,0,0,0,65315
23,3,2,1,0,1,1,0,0,0,65315
24,9,9,0,0,9,0,0,0,0,65358
25,8,8,0,0,4,0,0,0,0,65358
26,9,9,0,4,0,4,0,0,0,65358
27,15,15,0,5,8,1,0,0,0,65358
28,15,15,0,5,8,1,0,0,0,65358
29,16,16,0,6,9,0,0,0,0,65358
30,20,20,0,0,14,5,0,0,0,65358
31,18,18,0,10,0,6,0,0,0,65358
32,133,133,0,70,26,14,0,0,0,66909
33,141,0,141,63,58,0,0,0,0,67910
34,145,0,145,65,59,0,0,0,0,67910
35,124,0,124,43,62,19,0,0,0,67910
36,124,0,124,43,60,21,0,0,0,67910
37,124,0,124,43,60,21,0,0,0,67910
38,124,0,124,43,62,19,0,0,0,67910
39,54,54,0,34,14,6,0,0,0,69280
40,207,207,0,72,42,13,0,0,0,69428
41,84,0,84,16,55,13,0,0,0,69763
42,39,0,39,7,26,6,0,0,0,69763
43,36,0,36,7,23,6,0,0,0,69763
44,36,0,36,10,19,5,0,0,0,69763
