,project_id,project_name,project_start_date,building_id,house_number,street_name,borough,postcode,bbl,community_board,council_district,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,bin,project_completion_date,building_completion_date
0,44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,927737,335,RALPH AVENUE,Brooklyn,11233,3015560003,BK-03,41,301,BK79,40.677644,-73.921745,40.67747,-73.921492,New Construction,No,Non Prevailing Wage,0,0,0,13,0,0,0,2,11,0,0,0,0,0,0,13,13,13,,,
1,44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,969695,35,ROCHESTER AVENUE,Brooklyn,11233,3017090010,BK-03,36,299,BK61,40.677925,-73.927466,40.67791,-73.927181,New Construction,No,Non Prevailing Wage,0,0,0,2,6,0,0,2,6,0,0,0,0,0,0,8,8,8,,,
2,44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,975702,18-22,SUYDAM PLACE,Brooklyn,11233,3017090027,BK-03,36,299,BK61,40.677823,-73.926554,40.67784,-73.926824,New Construction,No,Non Prevailing Wage,0,0,0,14,1,0,0,14,1,0,0,0,0,0,0,15,15,15,,,
3,44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,977564,329/331,RALPH AVENUE,Brooklyn,,,BK-03,41,,,,,,,New Construction,No,Non Prevailing Wage,0,0,0,10,0,0,0,3,7,0,0,0,0,0,0,10,10,10,,,
4,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,64740,149,EAST 165 STREET,Bronx,10452,2024720001,BX-04,16,195,BX63,40.831229,-73.921325,40.83143,-73.921304,Preservation,No,Non Prevailing Wage,3,17,0,0,0,0,1,9,10,0,0,0,0,0,20,0,20,20,2002879,,
5,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,64863,200,EAST 166 STREET,Bronx,10456,2024560042,BX-04,16,18102,BX14,40.831369,-73.918181,40.83119,-73.918127,Preservation,No,Non Prevailing Wage,15,9,0,0,0,0,0,8,12,4,0,0,0,0,24,0,24,24,2002736,,
6,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,97372,1322,MORRIS AVENUE,Bronx,10456,2027850013,BX-04,16,17702,BX14,40.836319,-73.912288,40.83611,-73.912094,Preservation,No,Non Prevailing Wage,7,12,0,0,0,1,1,0,6,13,0,0,0,0,20,0,20,20,2007273,,
7,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,109490,1060,SHERMAN AVENUE,Bronx,10456,2024510011,BX-04,16,18101,BX14,40.830765,-73.917651,40.83079,-73.917333,Preservation,No,Non Prevailing Wage,27,36,0,0,0,1,0,23,19,16,6,0,0,0,64,0,64,64,2002626,,
8,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,109521,1194,SHERMAN AVENUE,Bronx,10456,2024520051,BX-04,16,18101,BX14,40.833229,-73.916206,40.83334,-73.91583,Preservation,No,Non Prevailing Wage,6,30,0,0,0,1,5,4,28,0,0,0,0,0,37,0,37,37,2002664,,
9,58871,SHERMAN CLUSTER HDFC.YR15.FY21,2021-06-30T00:00:00.000,112824,1345,TELLER AVENUE,Bronx,10456,2027820050,BX-04,16,17702,BX14,40.835557,-73.909691,40.8357,-73.909904,Preservation,No,Non Prevailing Wage,10,12,0,0,0,0,0,2,15,5,0,0,0,0,22,0,22,22,2007068,,
10,64543,LOWER EAST SIDE CLUSTER,2021-06-30T00:00:00.000,6567,195,AVENUE C,Manhattan,10009,1003940037,MN-03,2,28,MN28,40.727,-73.976715,40.72711,-73.976945,Preservation,No,Non Prevailing Wage,0,0,0,9,0,0,1,0,8,0,0,0,0,0,0,9,9,9,1004911,,
11,64543,LOWER EAST SIDE CLUSTER,2021-06-30T00:00:00.000,11581,406,EAST 10 STREET,Manhattan,10009,1003790012,MN-03,2,28,MN28,40.725658,-73.977032,40.72543,-73.977076,Preservation,No,Non Prevailing Wage,0,0,0,21,0,0,0,1,9,10,1,0,0,0,0,21,21,21,1004543,,
12,64543,LOWER EAST SIDE CLUSTER,2021-06-30T00:00:00.000,11701,533,EAST 11 STREET,Manhattan,10009,1004050046,MN-03,2,34,MN22,40.728085,-73.980907,40.72804,-73.980239,Preservation,No,Non Prevailing Wage,0,0,0,14,0,0,4,0,6,4,0,0,0,0,0,14,14,14,1005188,,
13,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,926974,687A,HANCOCK STREET,Brooklyn,11233,3016570059,BK-03,36,383,BK35,40.685103,-73.927793,40.68536,-73.92745,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,1,0,2,0,0,0,0,0,2,1,3,3,,,
14,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,927550,821,WILLOUGHBY AVENUE,Brooklyn,11206,3015890058,BK-03,36,287,BK35,40.695442,-73.935615,40.69566,-73.935579,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,1,2,0,0,0,0,2,1,3,3,,,
15,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,927551,278,BAINBRIDGE STREET,Brooklyn,11233,3016870047,BK-03,36,381,BK61,40.681506,-73.926279,40.68132,-73.925915,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3,,,
16,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,927552,1662,BERGEN STREET,Brooklyn,11213,3013560006,BK-08,36,307,BK61,40.674876,-73.927685,40.67468,-73.927614,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3,,,
17,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,927561,697A,JEFFERSON AVENUE,Brooklyn,11221,,BK-03,36,295,BK35,40.685544,-73.930457,,,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3,,,
18,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,927563,358,MALCOLM X BOULEVARD,Brooklyn,11233,3016860048,BK-03,36,297,BK61,40.680665,-73.928617,40.68064,-73.928869,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,1,0,1,1,0,0,0,0,2,1,3,3,,,
19,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,978709,191,CHAUNCEY STREET,Brooklyn,11233,3016870073,BK-03,36,381,BK61,40.680653,-73.927365,40.68086,-73.927365,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,2,2,,,
20,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,978711,179,CHAUNCEY STREET,Brooklyn,11233,3016870080,BK-03,36,381,BK61,40.680601,-73.927823,40.68081,-73.927921,New Construction,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,1,2,0,0,0,0,2,1,3,3,,,
21,65315,BED STUY CENTRAL AND NORTH PHASE I,2021-06-30T00:00:00.000,996113,50,BUFFALO AVENUE,Brooklyn,11233,3017100049,BK-03,36,299,BK61,40.677432,-73.924759,40.6774,-73.924954,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,2,2,,,
