,store_name,street_address,borough,zip_code,bbl,latitude,longitude
0,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,11206,3017390001.0,40.696961,-73.949512
1,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,11206,3017710001.0,40.692552,-73.948632
2,AANDE DIRECT LLC,40 LEWIS AVE,Brooklyn,11206,3015850035.0,40.696576,-73.937777
3,CENTRAL ORGANIC,67 CENTRAL AVE,Brooklyn,11206,3031640008.0,40.701096,-73.930445
4,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,11206,3017320026.0,40.698191,-73.944311
5,BROADWAY ORGANIC DELI INC,799 BROADWAY,Brooklyn,11206,3031320007.0,40.699745,-73.940176
6,MLD 91 FOOD CORP,91 HUMBOLDT ST,Brooklyn,11206,3030970018.0,40.704472,-73.941009
7,GRAHAM STOP ONE DELI INC,146 GRAHAM AVE,Brooklyn,11206,3030710007.0,40.70643,-73.943045
8,BOGOPA MANHATTAN INC,21 MANHATTAN AVE,Brooklyn,11206,3031040001.0,40.702939,-73.944235
9,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,11206,3022310035.0,40.701855,-73.955636
10,164 TOMPKIN DELI,164 TOMPKINS ST,Brooklyn,11206,,,
11,J A TOMPKINS FOOD CORP,920 MYRTLE AVE,Brooklyn,11206,3017560023.0,40.695814,-73.945344
12,JRM DELI GROCERY CORP,98 MARCUS GARVEY BLVD,Brooklyn,11206,3017610035.0,40.695505,-73.940544
13,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,11206,3015860014.0,40.696817,-73.936605
14,GREEN CORNER OF NY LLC,801 FLUSHING AVE,Brooklyn,11206,3031270027.0,40.701019,-73.940705
15,726 MEAT MARKET INC,726 BROADWAY,Brooklyn,11206,3022760022.0,40.701171,-73.942667
16,711 BROOKLYN DELI CORP,711 FLUSHING AVE,Brooklyn,11206,3022767502.0,40.700485,-73.943959
17,THE LUNCH BOX DELI CORP,204 BUSHWICK AVE,Brooklyn,11206,3030450017.0,40.708767,-73.940031
18,PAULA MARKET AND DELI CORP,276 HUMBOLDT ST,Brooklyn,11206,3027900001.0,40.711173,-73.942114
19,SEM SEM DELI CORP,75 HUMBOLDT ST,Brooklyn,11206,3030970024.0,40.704022,-73.940926
20,LORIMER DELI FOOD CORP,400 LORIMER ST,Brooklyn,11206,3030320005.0,40.708821,-73.948497
21,ORANGE TREE ORGANIC MARKET CORP,121 GRAHAM AVE,Brooklyn,11206,3030700026.0,40.705994,-73.942995
22,128 T EDGECOMBE DELI CORP,128 EDGECOMBE AVE,New York,10030,1020430001.0,40.820961,-73.945071
23,135 FUTURE LANDM CORP,24 WEST 135TH ST,New York,10037,1017300052.0,40.813209,-73.938756
24,135TH STREET DELI AND GROCERY CORP,266 WEST 135TH ST,New York,10030,1019400060.0,40.816056,-73.945505
25,141 FINEST DELI CORP,332 WEST 141ST ST,New York,10030,1020480041.0,40.820958,-73.945375
26,2278 DELI AND GROCERY INC,2278 7TH AVE,New York,10030,1019390036.0,40.814546,-73.944268
27,477 FOOD CORP,477 LENOX AVE,New York,10037,1019180036.0,40.813274,-73.94148
28,ADAM 1 FOOD CENTER INC,2657 FREDERICK DOUGLAS BLVD,New York,10030,1020430018.0,40.820741,-73.943464
29,BIG APPLE GRILL DELI INC,521 LENOX AVE,New York,10037,1019210029.0,40.814873,-73.940311
30,EL PATIO DELI CORP,2082 MADISON AVE,New York,10037,1017560014.0,40.809627,-73.93782
31,ESAYI CORP,2461 ADAM CLAYTON POWELL JR BLVD,New York,10030,1020120001.0,40.820418,-73.939952
32,FUNFAIR DELI CORP,537 LENOX AVE,New York,10037,1020060029.0,40.815499,-73.939852
33,GOLDEN DELI GROCERY CORP,2210 5TH AVE,New York,10037,1017300040.0,40.812473,-73.937835
34,HARLEM EMPIRE DELI INC,251 WEST 135TH ST,New York,10030,1019410001.0,40.815938,-73.94518
35,JANET FOOD CORP,2630 FREDERICK DOUGLASS BLVD,New York,10030,1020260060.0,40.819764,-73.944155
36,K AND S DELI CORP,429 LENOX AVE,New York,10037,1019160031.0,40.811888,-73.942496
37,LENOX AND 132ND FOOD CORP,448 LENOX AVE,New York,10037,1017300001.0,40.812396,-73.942095
38,LINCOLN DELI GROCERY INC 1,2095 MADISON AVE,New York,10037,1017560049.0,40.809959,-73.937238
39,MANDS FOOD CORP,2482 7TH AVE,New York,10030,1020300029.0,40.821167,-73.939431
40,MR 2497 FOOD CORP,2497 7TH AVE,New York,10030,1020130061.0,40.821482,-73.939178
41,NUNEZ DOMINGO,2591 8TH AVE,New York,10030,1020410047.0,40.818518,-73.945088
42,RIMAR GOURMET DELI INC,2611 FREDERICK DOUGLAS BLVD,New York,10030,1020427502.0,40.819097,-73.944665
43,ROSANNA FOOD CORP,592 LENOX AVE,New York,10037,1017370011.0,40.817088,-73.938669
44,1029 FOOD PLAZA INC,122 EAST 181ST ST,Bronx,10453,2031690034.0,40.854853,-73.903444
45,109 AJ DELI GROCERY CORP,109 EAST TREMONT AVE,Bronx,10453,2028070032.0,40.850673,-73.907372
46,48 BURNSIDE FOOD CORP,40 WEST BURNSIDE AVE,Bronx,10453,2028700026.0,40.853839,-73.909077
47,58 BURNSIDE FOOD CORP,58 WEST BURNSIDE AVE,Bronx,10453,2028690127.0,40.854163,-73.909767
48,65 BURNSIDE MEAT MARKET CORP,65 EAST BURNSIDE AVE,Bronx,10453,2031780001.0,40.853367,-73.906146
49,ALEX FOOD II CORP,1615 UNIVERSITY AVE,Bronx,10453,2028780015.0,40.847317,-73.919933
50,BONAO MEATS AND PRODUCE II INC,82 EAST BURNSIDE AVE,Bronx,10453,2028290045.0,40.853268,-73.905933
51,BURNSIDE AVE FOOD CENTER INC,111 EAST BURNSIDE AVE,Bronx,10453,2031690059.0,40.853059,-73.905344
